3 CL:	11	47	90	61
3 DL:	1	2	33	70	10	44	46	86	88	30
3 DL:	1	2	46
3 DL:	2	44	46
3 DL:	1	2	33	46
3 DL:	1	2	70	46
3 DL:	1	2	10	46
3 DL:	1	2	44	46
3 DL:	1	2	46	86
3 DL:	1	2	46	88
3 DL:	1	2	46	30
3 DL:	2	33	70	46
3 DL:	2	33	10	46
3 DL:	2	33	44	46
3 DL:	2	70	10	46
3 DL:	2	70	44	46
3 DL:	2	70	46	86
3 DL:	2	10	46	86
3 DL:	2	44	46	86
3 DL:	2	44	46	88
3 DL:	2	44	46	30
3 DL:	1	2	33	70	46
3 DL:	1	2	33	10	46
3 DL:	1	2	33	44	46
3 DL:	1	2	33	46	86
3 DL:	1	2	33	46	88
3 DL:	1	2	33	46	30
3 DL:	1	2	70	10	46
3 DL:	1	2	70	44	46
3 DL:	1	2	70	46	86
3 DL:	1	2	70	46	88
3 DL:	1	2	70	46	30
3 DL:	1	2	10	44	46
3 DL:	1	2	10	46	86
3 DL:	1	2	10	46	88
3 DL:	1	2	10	46	30
3 DL:	1	2	44	46	86
3 DL:	1	2	44	46	88
3 DL:	1	2	44	46	30
3 DL:	1	2	46	86	88
3 DL:	1	2	46	86	30
3 DL:	1	33	44	46	88
3 DL:	1	70	44	46	88
3 DL:	1	44	46	86	88
3 DL:	1	44	46	88	30
3 DL:	2	33	70	10	46
3 DL:	2	33	70	44	46
3 DL:	2	33	70	46	86
3 DL:	2	33	70	46	88
3 DL:	2	33	70	46	30
3 DL:	2	33	10	46	86
3 DL:	2	33	10	46	88
3 DL:	2	33	10	46	30
3 DL:	2	33	44	46	86
3 DL:	2	33	44	46	88
3 DL:	2	33	44	46	30
3 DL:	2	70	10	46	86
3 DL:	2	70	10	46	88
3 DL:	2	70	44	46	86
3 DL:	2	70	44	46	88
3 DL:	2	70	44	46	30
3 DL:	2	70	46	86	88
3 DL:	2	70	46	86	30
3 DL:	2	10	46	86	88
3 DL:	2	10	46	86	30
3 DL:	2	44	46	86	88
3 DL:	2	44	46	86	30
3 DL:	2	44	46	88	30
3 DL:	1	70	44	46	86	88	30
3 DL:	2	33	70	10	44	46	86
3 DL:	2	33	70	10	44	46	88
3 DL:	2	33	70	10	46	86	88
3 DL:	2	33	70	10	46	86	30
3 DL:	2	33	70	10	46	88	30
3 DL:	2	33	70	44	46	86	88
3 DL:	2	33	70	44	46	86	30
3 DL:	2	33	70	44	46	88	30
3 DL:	2	33	70	46	86	88	30
3 DL:	2	33	10	44	46	86	88
3 DL:	2	33	10	46	86	88	30
3 DL:	2	33	44	46	86	88	30
3 DL:	2	70	10	44	46	86	88
3 DL:	2	70	10	46	86	88	30
3 DL:	2	70	44	46	86	88	30
3 DL:	1	2	33	70	10	44	46	86
3 DL:	1	2	33	70	10	44	46	88
3 DL:	1	2	33	70	10	44	46	30
3 DL:	1	2	33	70	10	46	86	88
3 DL:	1	2	33	70	10	46	86	30
3 DL:	1	2	33	70	10	46	88	30
3 DL:	1	2	33	70	44	46	86	88
3 DL:	1	2	33	70	44	46	86	30
3 DL:	1	2	33	70	44	46	88	30
3 DL:	1	2	33	70	46	86	88	30
3 DL:	1	2	33	10	44	46	86	88
3 DL:	1	2	33	10	44	46	86	30
3 DL:	1	2	33	10	46	86	88	30
3 DL:	1	2	33	44	46	86	88	30
3 DL:	1	2	70	10	44	46	86	88
3 DL:	1	2	70	10	44	46	86	30
3 DL:	1	2	70	10	46	86	88	30
3 DL:	1	2	70	44	46	86	88	30
3 DL:	1	33	70	10	44	46	86	30
3 DL:	1	33	70	10	46	86	88	30
3 DL:	1	33	70	44	46	86	88	30
3 DL:	2	33	70	10	44	46	86	88
3 DL:	2	33	70	10	44	46	86	30
3 DL:	2	33	70	10	46	86	88	30
3 DL:	2	33	70	44	46	86	88	30
3 DL:	33	70	10	44	46	86	88	30
3 DL:	1	2	33	70	10	44	46	86	88
3 DL:	1	2	33	70	10	44	46	86	30
3 DL:	1	2	33	70	10	46	86	88	30
3 DL:	1	2	33	70	44	46	86	88	30
3 DL:	1	33	70	10	44	46	86	88	30
3 DL:	2	33	70	10	44	46	86	88	30
